,url,address,neighborhood,rent,beds,baths,area,zip
192,https://www.renthop.com/listings/120-w-21st/405/64110424,"120 W. 21st, Apt 405","Chelsea, Midtown Manhattan, Manhattan",5397,1,1.0,607_Sqft,10011
193,https://www.renthop.com/listings/east-79th-street-and-york/4op/64458933,East 79th Street and York,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",9450,4,2.0,"1,800_Sqft",
194,https://www.renthop.com/listings/795-columbus-ave/16b/63770236,"795 Columbus Avenue, Apt 16B","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",7791,2,2.5,"1,110_Sqft",10019
195,https://www.renthop.com/listings/3-west-36th-street/20b/63621456,"3 West 36th Street, Apt 20B","Midtown South, Midtown Manhattan, Manhattan",4495,1,1.0,,10018
196,https://www.renthop.com/listings/east-7th-street-1st-ave/na/64460149,East 7th Street & 1st Ave,"East Village, Downtown Manhattan, Manhattan",5995,2,1.0,,
197,https://www.renthop.com/listings/e-7th-st/3/14909036,E 7th St.,"East Village, Downtown Manhattan, Manhattan",5995,2,1.0,,
198,https://www.renthop.com/listings/east-79th-street-and-york/4op/64458933,East 79th Street and York,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",9450,4,2.0,"1,800_Sqft",
199,https://www.renthop.com/listings/795-columbus-ave/16b/63770236,"795 Columbus Avenue, Apt 16B","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",7791,2,2.5,"1,110_Sqft",10019
200,https://www.renthop.com/listings/3-west-36th-street/20b/63621456,"3 West 36th Street, Apt 20B","Midtown South, Midtown Manhattan, Manhattan",4495,1,1.0,,10018
201,https://www.renthop.com/listings/east-80th-street/4/64427701,East 80th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3500,2,2.0,,
202,https://www.renthop.com/listings/95-wall-street/525/64408123,"95 Wall Street, Apt 525","Financial District, Downtown Manhattan, Manhattan",3794,0,1.0,623_Sqft,10005
203,https://www.renthop.com/listings/222-east-12th-street-new-york-ny-10003/5b/64264567,"222 East 12th Street, Apt 5B","East Village, Downtown Manhattan, Manhattan",3800,1,1.0,800_Sqft,10003
204,https://www.renthop.com/listings/avenue-a/1r-duplex/64485719,Avenue A,"East Village, Downtown Manhattan, Manhattan",12500,4,1.5,,
205,https://www.renthop.com/listings/147-grand-street/2w/64472823,"147 Grand Street, Apt 2W","SoHo, Downtown Manhattan, Manhattan",7500,3,1.0,,10013
206,https://www.renthop.com/listings/west-17th-street/824/63895171,West 17th Street,"West Chelsea, Chelsea, Midtown Manhattan, Manhattan",6555,1,1.0,,
207,https://www.renthop.com/listings/park-ave/18a/64472193,"1229 Park Avenue, Apt 18A","Carnegie Hill, Upper East Side, Upper Manhattan, Manhattan",8995,3,3.0,"2,018_Sqft",10128
208,https://www.renthop.com/listings/401-e-34th-st/s19f/64446157,"401 E 34th St, Apt S19F","Murray Hill, Midtown Manhattan, Manhattan",4787,1,1.0,675_Sqft,10016
209,https://www.renthop.com/listings/95-wall-street/614/63651359,"95 Wall Street, Apt 614","Financial District, Downtown Manhattan, Manhattan",4344,0,1.0,694_Sqft,10005
210,https://www.renthop.com/listings/astor-place/3n/64465798,Astor Place,"NoHo, Downtown Manhattan, Manhattan",4500,1,1.0,,
211,https://www.renthop.com/listings/washington-street/7k/64310347,Washington Street,"West Village, Downtown Manhattan, Manhattan",6974,1,1.0,600_Sqft,
212,https://www.renthop.com/listings/1155-east-35th-street/b1/64473535,"1155 East 35th Street, Apt B1","Flatlands, Southeastern Brooklyn, Brooklyn",2399,2,1.0,,11210
213,https://www.renthop.com/listings/east-47th-street/na/62522975,East 47th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",8150,4,2.0,,
214,https://www.renthop.com/listings/795-columbus-ave/08m/63979504,"795 Columbus Avenue, Apt 08M","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3914,0,1.0,415_Sqft,10019
215,https://www.renthop.com/listings/e-15-street/32/2159231,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",6990,3,1.0,,
216,https://www.renthop.com/listings/east-20th/na/62376887,East 20th,"Gramercy Park, Midtown Manhattan, Manhattan",5000,2,1.0,950_Sqft,
217,https://www.renthop.com/listings/e-15-street/22/2210281,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",4990,2,1.0,,
218,https://www.renthop.com/listings/upper-east-side/5/64195001,Upper East Side,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",8500,4,3.0,,
219,https://www.renthop.com/listings/east-79th-street/4op/59116668,East 79th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",9450,4,2.0,"1,869_Sqft",
220,https://www.renthop.com/listings/e-15-street/32/2159231,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",6990,3,1.0,,
221,https://www.renthop.com/listings/east-20th/na/62376887,East 20th,"Gramercy Park, Midtown Manhattan, Manhattan",5000,2,1.0,950_Sqft,
222,https://www.renthop.com/listings/west-23rd-street/15h/64310248,West 23rd Street,"West Chelsea, Chelsea, Midtown Manhattan, Manhattan",5993,1,1.0,737_Sqft,
223,https://www.renthop.com/listings/e-15-street/22/2210281,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",4990,2,1.0,,
224,https://www.renthop.com/listings/775-columbus-ave/08c/63525019,"775 Columbus Avenue, Apt 08C","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5020,1,1.0,657_Sqft,10019
225,https://www.renthop.com/listings/west-55th-st/3b/64342310,West 55th St,"Theater District, Midtown, Midtown Manhattan, Manhattan",12900,4,1.0,"2,400_Sqft",
226,https://www.renthop.com/listings/center-boulevard/na/63816177,Center Boulevard,"Hunters Point, Long Island City, Northwestern Queens, Queens",7462,2,2.0,,
227,https://www.renthop.com/listings/808-columbus-ave/19g/64363594,"808 Columbus Avenue, Apt 19G","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5958,1,1.0,652_Sqft,10025
